epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,71055.1,2.02439,2.34769,1.19198,0.20227,0.24936,0.13021,0.04771,2.31527,2.81127,1.40309,0.000330078,0.000330078,0.000330078
73,72008.3,1.91053,2.13898,1.18691,0.22933,0.18097,0.11932,0.04399,2.35921,2.91344,1.42502,0.000319079,0.000319079,0.000319079
74,72957.7,1.96015,2.21339,1.19553,0.15836,0.26749,0.11974,0.04193,2.3771,2.86283,1.43422,0.00030808,0.00030808,0.00030808
75,73914.5,1.96115,2.16171,1.16801,0.18206,0.2371,0.12276,0.04061,2.41535,2.86214,1.44215,0.000297081,0.000297081,0.000297081
76,74892.9,2.01166,2.17001,1.24219,0.18498,0.2169,0.10984,0.03835,2.45337,2.91613,1.46876,0.000286083,0.000286083,0.000286083
77,75862.1,1.94523,2.12141,1.16366,0.1687,0.18567,0.12208,0.04493,2.34955,2.92729,1.42422,0.000275084,0.000275084,0.000275084
78,76846.8,1.8937,2.15612,1.20224,0.17773,0.21412,0.12939,0.04504,2.41431,2.79986,1.44885,0.000264085,0.000264085,0.000264085
79,77799.1,1.9264,2.18789,1.17134,0.17291,0.22981,0.12469,0.04827,2.34174,2.84646,1.42403,0.000253086,0.000253086,0.000253086
80,78734.6,1.88807,2.1196,1.16491,0.18023,0.19424,0.1147,0.03876,2.42556,2.96154,1.45927,0.000242087,0.000242087,0.000242087
81,79703.5,1.94121,2.05563,1.18159,0.17911,0.18205,0.1195,0.04147,2.47711,2.98294,1.45992,0.000231088,0.000231088,0.000231088
82,80654.2,1.89009,2.02165,1.16015,0.26006,0.17592,0.13252,0.04686,2.38778,2.92583,1.4255,0.000220089,0.000220089,0.000220089
83,81619.3,1.85662,2.00627,1.17426,0.18463,0.21493,0.12058,0.04248,2.3954,2.89859,1.44804,0.00020909,0.00020909,0.00020909
84,82578.2,1.87282,2.02429,1.14198,0.18445,0.1894,0.11544,0.04002,2.44696,3.01246,1.47865,0.000198091,0.000198091,0.000198091
85,83550.2,1.88078,1.96338,1.16186,0.25034,0.20394,0.12622,0.04458,2.43754,2.9628,1.47478,0.000187092,0.000187092,0.000187092
86,84534.4,1.81118,1.905,1.14216,0.15227,0.21583,0.10636,0.03572,2.57203,3.02309,1.52153,0.000176094,0.000176094,0.000176094
87,85497.5,1.84226,1.91804,1.14484,0.21704,0.20582,0.12472,0.04344,2.52098,2.9886,1.50822,0.000165095,0.000165095,0.000165095
88,86444.3,1.9149,1.98772,1.15722,0.19472,0.20276,0.12011,0.03963,2.50884,3.01215,1.48282,0.000154096,0.000154096,0.000154096
89,87376.2,1.91042,1.9517,1.15906,0.1928,0.18842,0.11441,0.03715,2.51844,2.99871,1.5236,0.000143097,0.000143097,0.000143097
90,88331.8,1.82837,1.9145,1.15499,0.18427,0.21343,0.11207,0.03706,2.46964,2.97299,1.49396,0.000132098,0.000132098,0.000132098
91,89284.8,1.74205,1.87912,1.08245,0.16212,0.24365,0.11543,0.04078,2.54492,3.01624,1.51032,0.000121099,0.000121099,0.000121099
92,90255.9,1.76268,1.83079,1.12068,0.16642,0.1738,0.12407,0.0436,2.51407,2.97368,1.51569,0.0001101,0.0001101,0.0001101
93,91216.1,1.7672,1.77177,1.11132,0.18976,0.14801,0.11832,0.04134,2.51844,2.99589,1.50437,9.91012e-05,9.91012e-05,9.91012e-05
94,91949.3,1.7145,1.73186,1.06704,0.21212,0.14715,0.12659,0.04549,2.54864,3.05401,1.52501,8.81023e-05,8.81023e-05,8.81023e-05
95,92885.3,1.8008,1.71984,1.09137,0.21963,0.14715,0.12615,0.04383,2.53785,3.03044,1.52265,7.71034e-05,7.71034e-05,7.71034e-05
96,93857.9,1.76502,1.74073,1.08012,0.21415,0.13473,0.12344,0.04217,2.53292,3.05198,1.52429,6.61045e-05,6.61045e-05,6.61045e-05
97,94809.1,1.80091,1.77196,1.0928,0.16894,0.15439,0.12203,0.04262,2.53365,3.03834,1.5158,5.51056e-05,5.51056e-05,5.51056e-05
98,95768.5,1.79814,1.71569,1.08163,0.1823,0.16313,0.12182,0.04383,2.54912,3.04418,1.52066,4.41067e-05,4.41067e-05,4.41067e-05
99,96718.1,1.77902,1.71232,1.09327,0.13355,0.19796,0.12233,0.04433,2.53624,3.03981,1.51804,3.31078e-05,3.31078e-05,3.31078e-05
100,97688.1,1.689,1.65513,1.04913,0.16676,0.16305,0.12003,0.04533,2.52308,3.03506,1.51745,2.21089e-05,2.21089e-05,2.21089e-05
